Tag#;Datum;Region;Kategorie;Typ;Titel;Details;Startzeit;Dauer;Booking Code;Maps;Home;Hometitle;Sunrise;Sunset
1;29. May;Volterra;Logistik;Auto;Fahrt in die Toskana;MÃ¼nchen -> Volterra;12:01;07:30;;https://www.google.com/maps/search/?api=1&query=Volterra+Italy;;;05:42;20:48
1;29. May;Volterra;Logistik;Hotel;Airbnb - L'Orielda;56040 Montecatini Val di Cecina;16:00;;;https://www.google.com/maps/search/?api=1&query=L'Orielda+casa+vacanze+Montecatini+Val+di+Cecina;https://images.pexels.com/photos/2869499/pexels-photo-2869499.jpeg?auto=compress&w=400;L'Orielda;05:42;20:48
5;02. Jun;Maremma;Logistik;Auto;Fahrt nach SŸden;Montecatini -> Castiglione;10:00;01:45;;https://www.google.com/maps/search/?api=1&query=Castiglione+della+Pescaia;;;05:39;20:52
5;02. Jun;Maremma;Logistik;Hotel;Airbnb - Terrazza vista mare;Via Monte Bianco, 8;15:00;;;https://www.google.com/maps/search/?api=1&query=Via+Monte+Bianco+8+Castiglione+della+Pescaia;https://images.pexels.com/photos/1032650/pexels-photo-1032650.jpeg?auto=compress&w=400;Terrazza Mare;05:39;20:52
10;07. Jun;Vaterstetten;Logistik;Auto;Nach Hause;Castiglione -> Vaterstetten;10:00;08:30;;https://www.google.com/maps/search/?api=1&query=Vaterstetten+Germany;;;05:36;20:56
